Seabotix Motor Controller BOM,,,2014-07-22,Evan Widloski,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Qty,Value,Nom. Rating,Package,Parts,URL,Part No,Digikey Cost,Qty to Buy,Cost,,Notes
1,,,PINHD-2X3,ISP,,,,,,,
,,,,,,,,,,,
5,.1uF,25V,C-USC0603,"C2, C4, C8, C10, C15",http://www.digikey.com/product-detail/en/CC0603ZRY5V9BB104/311-1343-1-ND/2103127,311-1343-1-ND,0.1,20,2,,
1,.22uF,25V,C-USC0603,C11,http://www.digikey.com/product-detail/en/TMK107B7224KA-T/587-1246-1-ND/931023,587-1246-1-ND,0.1,10,1,,
1,1M,,R-US_R0603,1,http://www.digikey.com/product-detail/en/RC0603FR-071ML/311-1.00MHRCT-ND/729791,311-1.00MHRCT-ND,0.1,10,1,,
2,1k,,R-US_R0603,"R2, R6, R8",http://www.digikey.com/product-detail/en/RMCF0603JT1K00/RMCF0603JT1K00CT-ND/1943173,RMCF0603JT1K00CT-ND,0.1,10,1,,
4,1uF,25V,C-USC0603,"C1, C3, C9, C16",http://www.digikey.com/product-detail/en/TMK107B7105KA-T/587-2984-1-ND/2714177,587-2984-1-ND,0.1,20,2,,
1,2.2uF,100V,C-USC0603,C14,http://www.digikey.com/product-detail/en/CC0603ZRY5V5BB225/311-1452-1-ND/2833758,311-1452-1-ND,0.11,10,1.1,,
8,3.3k,,R-US_R0603,"R3, R4",http://www.digikey.com/product-detail/en/RMCF0603JT3K30/RMCF0603JT3K30CT-ND/1943182,RMCF0603JT3K30CT-ND,0.1,10,1,,
2,10k,,R-US_R0603,"R1,R5",http://www.digikey.com/product-detail/en/RMCF0603JT10K0/RMCF0603JT10K0CT-ND/1943191,RMCF0603JT10K0CT-ND,0.1,10,1,,
1,22pF,25V,C-USC0603,C12,http://www.digikey.com/product-detail/en/C1608C0G1H220J080AA/445-1273-1-ND/567670,445-1273-1-ND,0.1,10,1,,
1,22uF,25V,“0805”,C13,http://www.digikey.com/product-detail/en/CL21A226MAQNNNE/1276-2908-1-ND/3890994,1276-2908-1-ND,0.47,10,4.7,,
1,33k,,603,R7,http://www.digikey.com/product-detail/en/RMCF0603JT33K0/RMCF0603JT33K0CT-ND,RMCF0603JT33K0CT-ND,0.1,10,,,
2,51k,,R-US_R0603,,http://www.digikey.com/product-detail/en/RMCF0603FT51K1/RMCF0603FT51K1CT-ND/1943103,RMCF0603FT51K1CT-ND,0.1,10,1,,
,,,,,,,,,,,
2,68nF,25V,C-USC0603,"C6, C7",http://www.digikey.com/product-detail/en/GRM188R71E683KA01D/490-1523-1-ND/587864,490-1523-1-ND,0.1,10,1,,
